"ツイートID","ツイートの固定リンク","ツイート本文","時間","インプレッション","エンゲージメント","エンゲージメント率","リツイート","返信","いいね","ユーザープロフィールクリック","URLクリック数","ハッシュタグクリック","詳細クリック","固定リンクのクリック数","アプリ表示","アプリインストール","フォローしている","ツイートをメール送信","ダイアル式電話","メディアの再生数","メディアのエンゲージメント数","プロモのインプレッション","プロモのエンゲージメント","プロモのエンゲージメント率","プロモのリツイート","プロモの返信","プロモのいいね","プロモのユーザープロフィールクリック","プロモのURLクリック数","プロモのハッシュタグクリック","プロモの詳細クリック","プロモの固定リンクのクリック数","プロモのアプリ表示","プロモのアプリインストール","プロモのフォローしている","プロモのツイートをメール送信","プロモのダイアル式電話","プロモのメディアの再生数","プロモのメディアのエンゲージメント数"
"1321951721359204352","https://twitter.com/rivi_h30/status/1321951721359204352","@MC_CRAFTOR ありましたよねー（笑）
私の場合は納期2年と言われました・・・

ただ、次の年には在庫が余りまくっていたらしいですけど・・・
中国需要に、見事に引っ掻き回された感じですね・・・","2020-10-29 23:07 +0000","50.0","5.0","0.1","0.0","0.0","2.0","1.0","0.0","0.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1321937026485166081","https://twitter.com/rivi_h30/status/1321937026485166081","機械を作る上で、ほぼ必須である「ベアリング」
やはり中国からの受注が増えると、回復してくるんですねー！

そいういえば2～3年前、中国（特に半導体メーカ）が、日本中のベアリング・リニアガイドを買い占めたので、
日本の機械メーカは、機械が作れずに困った記憶が・・・
https://t.co/oS4MIFV8MT","2020-10-29 22:08 +0000","591.0","60.0","0.10152284263959391","0.0","1.0","6.0","13.0","12.0","0.0","28.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1321933405693505538","https://twitter.com/rivi_h30/status/1321933405693505538","テレビや動画を見ていても、ネットの記事・SNSを読んでいても思うのですが、

「これからの日本はどうなるの！？」
「これからのウチらはどうなっちゃうの！？」

という議論より

「これから、どういう風にしていこうか？」

という議論の方が好きですねー","2020-10-29 21:54 +0000","366.0","6.0","0.01639344262295082","0.0","0.0","5.0","1.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1321579461901344768","https://twitter.com/rivi_h30/status/1321579461901344768","ちなみに、業界の系統が似ている川崎重工はどうなんでしょうかね？
ロボット持っているし、製品も大物が多いのですが・・・
自社で活用しているというより、どちらかというと自動車の組立工場にはいっているというイメージ・・・ https://t.co/c4P8ds0wx1","2020-10-28 22:27 +0000","539.0","9.0","0.016697588126159554","0.0","0.0","2.0","5.0","0.0","0.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1321577033370009600","https://twitter.com/rivi_h30/status/1321577033370009600","三井も参入するんですねー！
主力である造船業界は、中国・韓国からのシェアの食われっぷりがヤバいので、頑張ってほしいです。
ちなみに、造船・プラント業界のアナログっぷりはすごいので、ポジションを築けたら強いと思います。https://t.co/3CFPBy3mZs","2020-10-28 22:18 +0000","503.0","35.0","0.06958250497017893","1.0","0.0","7.0","8.0","12.0","0.0","7.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1320928994800267266","https://twitter.com/rivi_h30/status/1320928994800267266","@toki_engineer ありがとうございます！

そう言ってもらえると嬉しいです！","2020-10-27 03:23 +0000","30.0","5.0","0.16666666666666666","0.0","0.0","1.0","2.0","0.0","0.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1320928620001464320","https://twitter.com/rivi_h30/status/1320928620001464320","特に学生さんなんかは興味ある人いるんじゃないでしょうか？

拡散しますねー！ https://t.co/Pcww6iG2C3","2020-10-27 03:21 +0000","687.0","14.0","0.020378457059679767","0.0","1.0","3.0","1.0","0.0","0.0","9.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1320626053107216384","https://twitter.com/rivi_h30/status/1320626053107216384","ブログを更新しました。
【解説】長穴を扱う際の注意点と対策 5選

長穴って気軽に使えるのですが、現場でトラブルになりやすいものでもあったりします。

この記事をDR（デザインレビュー）のたたき台などに活用いただければと思います。
https://t.co/mu6kKqbM3b","2020-10-26 07:19 +0000","513.0","73.0","0.14230019493177387","0.0","1.0","13.0","6.0","41.0","0.0","12.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1319816697163902976","https://twitter.com/rivi_h30/status/1319816697163902976","@haruyama_PE もはや、エスカレータに2人並べる分の幅はいらないんじゃないかと感じます（笑）

1人しか立てない幅にして、エスカレータの数を増やしたほうがいいような・・・","2020-10-24 01:43 +0000","241.0","6.0","0.024896265560165973","0.0","1.0","2.0","1.0","0.0","0.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1319804720936931328","https://twitter.com/rivi_h30/status/1319804720936931328","政府やら企業やらが「デジタル化！ペーパレス化！」などと叫ばれている中、
ふと我が家を見渡すとまだまだアナログな世界が・・・

父親って、我が家の社長みたいなものなので、

Notionやらスプレッドシートやらを、家族みんなが使いこなせ得るよう教育していきますー","2020-10-24 00:55 +0000","480.0","16.0","0.03333333333333333","0.0","0.0","4.0","6.0","0.0","0.0","6.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1318534884713902080","https://twitter.com/rivi_h30/status/1318534884713902080","ブログを更新しました。
【実録】30歳エリートサラリーマンの考え方・価値観

私の慶應義塾大学時代の友人に、30歳の年収上位3%の人と、1%の人がいます。
そんな2人の話をもとにした、エリートの考え方や価値観についてお話します。
https://t.co/G9O167h1SJ","2020-10-20 12:49 +0000","366.0","32.0","0.08743169398907104","0.0","0.0","3.0","2.0","13.0","0.0","14.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
